question,answer_llm,answer_orig,document
What do I need to fill in so my certificate shows my real legal name?,Fill in your **official/legal name** in the **second field** of **Edit Course Profile** — the field that is printed on your certificate.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I take the course on my own time and still get a certificate at the end?,"No. You can take the course in self-paced mode, but you won’t get a certificate that way. Certificates are only awarded if you finish with a live cohort, because you need to peer-review other projects during the course.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I go through the materials self-paced, will I be eligible for the course certificate?",No. You can only get a certificate if you finish the course with a live cohort; self-paced mode does not qualify for a certificate.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do you give certificates to people who don’t join the live cohort?,No. You only get a certificate if you finish the course with a live cohort; self-paced participants do not receive certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why isn’t there a certificate option for self-paced students in this course?,"There isn’t a certificate option for self-paced students because certificates are only awarded to participants who complete the course with a live cohort. The reason is that getting the certificate requires peer-reviewing 3 capstones, and that peer-review process is only available while the course is actively running, before the form closes and the review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is the certificate only available if I complete the course during the live run and do the peer reviews?,"Yes. According to the course info, you can only get a certificate if you finish the course with a **live cohort** and complete the required **peer reviews**. Certificates are **not** awarded for self-paced mode, because you need to peer-review **3 capstone projects** after submitting your own project.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Can I still get a certificate if I skipped the first homework, or is homework required?","Yes — homework is **not required** for the certificate. You only need to **pass the Capstone project** to get the certificate. Homework is optional, though recommended for practice and leaderboard points.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I need to complete every homework assignment to get the course certificate?,"No. Homework is not mandatory for the certificate. You need to pass the Capstone project, and you can still get a certificate even if you missed some homework assignments.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to pass in order to receive the certificate?,"You need to pass the **Capstone project** to receive the certificate.

Also, you can only get a certificate if you finish the course with a **live cohort** and submit your project while submissions are still open.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is the Capstone project the only mandatory thing for the certificate, or do homework scores matter too?","No — the **Capstone project is the only mandatory requirement for the certificate**. Homework scores do **not** matter for earning the certificate; they only count toward your **leaderboard rank**.

Also, you still need to finish the course with a **live cohort** and peer-review capstone projects to get the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn’t required, why should I still do it during the course?","Even though homework isn’t mandatory, it’s still useful because it helps you practice the lesson material and apply the same ideas in a slightly different way. It also contributes to your leaderboard rank, even if it doesn’t affect your certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing from one day to the next?,"If the homework title contains `[DRAFT]`, it means it is not ready yet.

The homework is only final when:

- the homework form is open on the course management platform, and
- the homework title does not contain `[DRAFT]`.

Until then, the content can still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean if the homework title has [DRAFT] in it?,"If the homework title has `[DRAFT]` in it, it means the homework is not ready yet. The content can still change until the homework form is open and the title no longer contains `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell that a homework assignment is actually ready to do?,"A homework assignment is ready only when both of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

If the title still says `[DRAFT]`, it is not ready yet and the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on homework before it’s officially open?,"Yes — you can start working on it in advance, but it’s **at your own risk** because the homework content can still change until it is officially ready.

A homework is considered ready only when:
- the homework form is open, and
- the title does **not** contain `[DRAFT]`.

So if it’s not officially open yet, the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework still change even after I see it on the course platform?,"Yes — the homework can still change until it is fully ready.

It is considered ready only when both are true:
- the homework form is open on the course platform, and
- the homework title does **not** contain `[DRAFT]`.

Until then, the content may still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next run of the course scheduled for?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when this course will be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the expected date for the next course offering?,Summer 2027.,Summer 2027.,bd31146b0e
"Will this course be back in Summer 2027, or earlier?",The course will be offered next in **Summer 2027**. I don’t have information about any earlier run.,Summer 2027.,bd31146b0e
Is there a planned next session for this course?,Yes — the next offering is planned for **Summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the course videos for each lesson?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point: open the **lesson folders**, and each lesson page has the relevant **videos linked at the top**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place I should start if I want to follow the lectures?,"Yes — the main place to start is the **LLM Zoomcamp GitHub repository**:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there; each lesson page has the relevant videos linked at the top. If you want the recommended workflow, start with the **LLM Zoomcamp docs** and the **general Zoomcamp logistics docs** as well.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do the lesson pages already link to the videos somewhere, or do I need to search YouTube?","Yes — the lesson pages already have the relevant videos linked at the top of each lesson page in the GitHub repo. You don’t need to search YouTube first.

Use the **LLM Zoomcamp GitHub repository** as the main entry point, and if in doubt, follow the repo rather than the YouTube playlist because it’s easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the best way to keep up with the latest lecture links for this course?,I don’t know.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I find the videos if I only have the course repo?,"Open the lesson folders in the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp). Each lesson page has the relevant videos linked at the top.

When in doubt, follow the GitHub repo first, because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and homework updates in one place?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It has the syllabus/current cohort structure, homework, deadlines, and progress tracking in one place.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course dashboard for tracking deadlines and my progress in LLM Zoomcamp?,"Yes — use the **LLM Zoomcamp course management platform** to track the syllabus, homework, deadlines, and your progress:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How can I follow the current cohort structure for LLM Zoomcamp?,"Use the **LLM Zoomcamp course management platform** to follow the current cohort structure:

- **Platform:** https://courses.datatalks.club/llm-zoomcamp-2026/
- It contains the **current cohort structure**, homework, deadlines, and progress tracking.
- The process is the same as in other DataTalks.Club Zoomcamps.

You can also start with:
- the **LLM Zoomcamp docs**
- the **general Zoomcamp logistics docs**
- the **LLM Zoomcamp GitHub repository**

If you want, I can also summarize the typical weekly workflow.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"What site should I use to see homework, deadlines, and course progress for this zoomcamp?","Use the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It has the homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Does LLM Zoomcamp have a management platform like the other DataTalks.Club Zoomcamps?,"Yes. LLM Zoomcamp has its own course management platform, similar to the other DataTalks.Club Zoomcamps: https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do you run office hours or live classes for every module, or is the course mostly pre-recorded?","The course is mostly pre-recorded. There are no separate live sessions for every module by default; module materials are available in the course repo. Live sessions, if any, are announced separately. If you’re stuck, you should ask in Slack and follow the asking-questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How do I get help if I’m stuck on a module and there isn’t a live session scheduled?,"If you’re stuck, ask your question in Slack and follow the asking questions guidelines.

There aren’t separate live sessions for every module by default; module materials are pre-recorded and available in the course repo. Live sessions are announced separately when they happen.

If you want extra structured support, there is also the optional paid AI Shipping Labs community with regular Zoom office hours.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Where do you announce live sessions, and how will students know when they happen?","Live sessions are announced separately when they happen, and the video URL is posted in the announcements channel on Telegram and Slack before the session starts.

Students join via YouTube Live, and the link is also available on the DataTalksClub YouTube channel.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any extra support option with regular Zoom office hours if I want more structure?,Yes — there’s an optional paid support option called **AI Shipping Labs**. It includes **regular Zoom office hours** and **additional structure**. The course content itself remains free.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
